Name,City,Neighborhood,Type of activity,Description,Maps/web site,Commentary
Fushimi Inari-taisha,Kyoto,Minami-ku,Temple,Hike of the 1000 torii (very easy),"https://www.google.com/maps/place/Fushimi+Inari-taisha/@34.9671402,135.7726717,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipMyGYtWuAsRLn-8i4kXkMBmUD9pRHQcJgxAEM9_!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipMyGYtWuAsRLn-8i4kXkMBmUD9pRHQcJgxAEM9_%3Dw86-h114-k-no!7i3024!8i4032!4m5!3m4!1s0x60010f153d2e6d21:0x7b1aca1c753ae2e9!8m2!3d34.9671402!4d135.7726717","Easy hike, take photos from the top not the bottom (too crowded)"
Sensou-ji,Tokyo,Asakusa,Temple,the most photographed places in the world,"https://www.google.com/maps/place/Sanctuaire+Asakusa/@35.6826846,139.730161,12.79z/data=!4m5!3m4!1s0x60188ec1a4463df1:0x6c0d289a8292810d!8m2!3d35.7147651!4d139.7966553",seen it once quite pretty despite the good amount of tourists. Watchout there are a lot of scams
Shinjuku Gyoen,Tokyo,Shinjuku,Park,Tokyo's largest park,https://maps.app.goo.gl/GsTTFksakJjcUoqu5,"Nice park for relaxing, but not amazing."
Meiji Jingu,Tokyo,Shibuya,Temple,"Temple + park, crazy temple",https://goo.gl/maps/7gKiGYU79i9JVg6p6,"A bit touristy, but a good starting point for visiting Harajuku."
Masahiro sword smith,Kyoto,Kyoto contryside,Local activity,Traditional blade forging (expensive + plan ahead),https://goo.gl/maps/D9P4rYZpWrMwycra7,
rooftop baseball,Tokyo,Ikebukuro,Local activity,Playing baseball on the rooftops of Tokyo,Batting Center - Du baseball sur les toits de Tokyo,
Hachiko Statue,Tokyo,Shibuya,Other,see the statue of Hachiko,https://goo.gl/maps/VsCNYmNT4gTDUhgv7,"The photo spot was overcrowded, but it's nice to see."
Tsukiji,Tokyo,Chuo-city,Restaurant,Fish market,https://goo.gl/maps/dHoFXQzf3AXc3mmW9,
Gion Matsuri,Kyoto,Gion,Other,Japan's largest summer festival,Gion Matsuri 2024 - Chouette Calendrier,"Incredibly overcrowded, but the people are nice; worth doing over several days."
Trader,Tokyo,Chiyoda,Store,Retro gaming store,https://goo.gl/maps/ZHT3YvWv7AjBbADA7,Great deal for retro gaming fans
