Nom,Ville,Quartier,Type d'activité,Description,lieux/site,Commentaire
Fushimi Inari-taisha,Kyoto,Minami-ku,Temple,Rando des 1000 tori (très facile),"https://www.google.com/maps/place/Fushimi+Inari-taisha/@34.9671402,135.7726717,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipMyGYtWuAsRLn-8i4kXkMBmUD9pRHQcJgxAEM9_!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipMyGYtWuAsRLn-8i4kXkMBmUD9pRHQcJgxAEM9_%3Dw86-h114-k-no!7i3024!8i4032!4m5!3m4!1s0x60010f153d2e6d21:0x7b1aca1c753ae2e9!8m2!3d34.9671402!4d135.7726717","Rando facile, prendre les photo depuis le haut pas depuis le bas (trop de monde)"
Sensou-ji,Tokyo,Asakusa,Temple,lieux le plus photographier du monde,"https://www.google.com/maps/place/Sanctuaire+Asakusa/@35.6826846,139.730161,12.79z/data=!4m5!3m4!1s0x60188ec1a4463df1:0x6c0d289a8292810d!8m2!3d35.7147651!4d139.7966553",A voit une fois mais globalement osef (attention au boutique de pigeonnage de tourriste)
Shinjuku Gyoen,Tokyo,Shinjuku,Parc,Plus grand parc de Tokyo,https://maps.app.goo.gl/GsTTFksakJjcUoqu5,Parc sympas pour se reposer mais pas fou
Meiji-jingū,Tokyo,Shibuya,Temple,Temple+parc temple de fou,https://goo.gl/maps/7gKiGYU79i9JVg6p6,Un peu Touristique mais bon point de départ pour visité harajuku
Masahiro sword smith,Kyoto,Campagne Kyoto,Activité local,Forge de lame traditionnel (cher + prévoir à l'avance),https://goo.gl/maps/D9P4rYZpWrMwycra7,
base ball sur les toit,Tokyo,Ikebukuro,Activité local,Faire du base ball sur les toit de tokyo,Batting Center - Du baseball sur les toits de Tokyo,
Statue Hachiko,Tokyo,Shibuya,Autre,voir la statue de hachiko,https://goo.gl/maps/VsCNYmNT4gTDUhgv7,Point overcrowded pour les photo mais sympa a voir
Tsukiji,Tokyo,Chuo-city,Restaurant,Marché du poisson,https://goo.gl/maps/dHoFXQzf3AXc3mmW9,
Gion Matsuri,Kyoto,Gion,Autre,Plus grand festival d'été du Japon,Gion Matsuri 2024 - Chouette Calendrier,Overcrowded de fou mais les gens sont sympas a faire sur plusieur jour
Trader,Tokyo,Chiyoda,Magasin,Magasin rétro gaming,https://goo.gl/maps/ZHT3YvWv7AjBbADA7,Bon plan pour les fans de retro gaming
Game park,Tokyo,Ikebukuro,Salle d'arcade,Salle d'arcade peu connu,https://goo.gl/maps/kbRSMSV8wuMNQWyB8,
Mandarake shibuya,Tokyo,Shibuya,Magasin,"Magasin manga, jeu, jouet",https://goo.gl/maps/i5x8Ljmm5Q8HtLdz6,
Sofmap,Tokyo,Akihabara,Magasin,"Magasin de jeux, figurine, rétro",https://goo.gl/maps/E1tBJ7gWRcEasSoU7,
Mandarake Complexe,Tokyo,Akihabara,Magasin,"Magasin manga, jeu, jouet (8 étages)",https://maps.app.goo.gl/1a3wE1MDCV6sudeX8,Mon lieux principal d'achat de mangas
Mandarake Ikebokuro,Tokyo,Ikebukuro,Magasin,"Magasin manga, jeu, jouet",https://goo.gl/maps/5ivGTDynw5weYpsY7,
Womb,Tokyo,Shibuya,Club,Une des plus grosse boite de nuit,https://g.page/wombtokyo?share,Prix d'entré trop cher
Japan Sake and Shōchū Information Center,Tokyo,Minato-city,Musée,Musée et dégustation de saké et shochu,https://goo.gl/maps/k1nAC12NPTY7u67W7,
Bonjour Tokyo Bar,Tokyo,Toshima-city,Bar,bar karaoké soirée française,https://g.page/BonjourTokyoBar?share,
Kawagoe Hikawa Shrine,Saitama,Kawagoe,Temple,Temple de fou dans un quartier incr(ville collé à Tokyo),https://goo.gl/maps/tPoWgJpyJevgrZBH6,
Toki no Kane,Saitama,Kawagoe,Autre,"Cloché de l'ère Edo ( sonner les cloches quatre fois 6h00, midi, 15h00, 18h00)",https://goo.gl/maps/kZdd8txF4yPJVA6F7,
Parc,Saitama,Kawagoe,Magasin,magasin/centre de saké et de bière local,https://goo.gl/maps/p1B9Y7rPArGVN24c8,
Tour de tokyo,Tokyo,Minato-city,Autre,La tour eiffel jap qui diffuse des animé,https://goo.gl/maps/ecY6FYmFFYjZwtZv6,Plein d'activité autre a l'intérieur
Cha Ginza Uogashimeicha Ginza,Tokyo,Chuo-city,Magasin,Magasin/salon de thé,https://goo.gl/maps/6bXT2ZhRoBmWZDHK6,
AiiRO CAFE,Tokyo,Shinjuku,Bar,Bar LGBT (1 000 yen en bière à volonté de 18h à 21h),https://goo.gl/maps/ssSLjXtSc6dd2LgY6,
Yasaka-jinja,Kyoto,Gion,Temple,Temple coloré dans le quartier ultra tradi de kyoto,https://goo.gl/maps/JCRkdwLj1cjgb2zQ8,Temple principal de Gion
Nijō-jō,Kyoto,Nakagyo-ku,Autre,Ancien chateau de l'empereur,https://goo.gl/maps/Uigqtr628iTgwZd59,Entrée gratuite
Kinkaku-ji,Kyoto,Kita-ku,Autre,chateau dorée,https://goo.gl/maps/5fepxadjyXdsMqGv8,Lieux très photogénique avec pas tant de monde que ça en fin d'aprèm
Ginkaku-ji,Kyoto,Sakyo-ku,Autre,chateau d'argent,https://goo.gl/maps/v6w51Je9Hv7UKLwP7,
Tozando Shogoin Store,Kyoto,Sakyo-ku,Magasin,Magasin sabre et armure avec possibiliter d'essayer les armures,https://goo.gl/maps/nu5BmT5RaoZPYRSQ9,"Les katana en exposition ne sont pas des katana tailler, mais les katana antique le sont (cher)"
Musée Ghibli,Mikata,Shimorenjaku,Musée,Musée ghibli prévoir à l'avance (ville dans la métropole de Tokyo),https://goo.gl/maps/5YpwxmWZRS7cAKbRA,
Musée national de Tokyo,Tokyo,Taitou,Musée,Musée d'art traditionnel japonnais,https://goo.gl/maps/sjpEnAT2hWccNnzv6,
Musée international du manga de Kyoto,Kyoto,Nakagyo-ku,Musée,Gigantesque musée de manga (50 000 exemplaire),https://goo.gl/maps/mmDU6NPQz6JrfEyX6,
Arashiyama Bamboo Forest,Kyoto,Ukyo,Rando,Foret de bambou en bordure de ville (très très facile),https://g.page/arashiyama-bamboo-forest?share,
Souden,Kyoto,Nakagyo-ku,Restaurant,Restaurant de sushi rond,https://goo.gl/maps/Yjnx8D99Y9iWbUMN7,
Tsuruya Yoshinobu Kyoto Main Store,Kyoto,Kamigyo,Magasin,Magasin de confiserie traditionnel + possibilité de voir la fabrication (+ dégustation avec thé) + très réputé (approuvé par la famille impériale),https://goo.gl/maps/zoX1nqJhi3MUpF5Q6,"Expérience incroyable, inconnu du grand publique"
Nazuna Kyoto Nijo-jo,Kyoto,Nakagyo-Ku,Hotel,Hotel,https://goo.gl/maps/VD1kkJyRmYkApKA28,
Wak Japan,Kyoto,Nakagyo-Ku,Activité local,"Multiple activité traditionnel (cérémonie du thé, origami, calligraphie, ...)",https://goo.gl/maps/jaA1ejU7RWiXjzUP8,
Eitarouya,Kyoto,Nakagyo-Ku,Magasin,Magasin de kimono pour homme avec possibilité de commander sur place et de le recevoir en france (c'est cher mais askip ça peut allé),https://goo.gl/maps/eFa3443vnBHU2XuUA,Prix moyen pour kimono homme d'été 1100€
Black silk,Kyoto,Nakagyo-Ku,Magasin,"Magasin de teinture de Kamon (symbole de famille samurai) avec possibilité de choisir son Kamon (samorai, original, signe astro, date de naissance, ...), customiser",https://g.page/kansyakun?share,
Premarché Alternative Diner,Kyoto,Nakagyo-Ku,Restaurant,Restaurant végé/végan,https://goo.gl/maps/3E8TiexMxYVAcmAT6,
Kyolan Kimono rental,Kyoto,Ukyo,Magasin,"Location + photo shoot kimono (~40€ kimono,~17€ yukata)",https://goo.gl/maps/aADSASwevYPB8D4PA,
Kimono Forest,Kyoto,Ukyo,Autre,"Lieux touristique à faire de nuit, remplis de poteau de kimono",https://goo.gl/maps/1tXeEuJwWLG5T6A97,
Negiya Heikichi Pontocho shop,Kyoto,Nakagyo-Ku,Restaurant,Restaurant d'anguille pas cher et bien servis,https://goo.gl/maps/Lzh4cgM9GBkgN7QeA,
snack Bar A-55 Kyotoshijo-Kawaramachi,Kyoto,Nakagyo-Ku,Bar,Bar de confiserie jap (tous ce que tu peux manger pendant 1h),https://maps.app.goo.gl/NLtyT269y5hgvXvY6,
Yakiniku LIKE,Kyoto,Nakagyo-Ku,Restaurant,Restaurant de wagyu a griller nous même (pas cher ~15€),https://goo.gl/maps/Hd12iYhVABHRuacx8,
Shikata Urushi,Kyoto,Shimogyo,Activité local,faire du Kintsugi (art de la réparation de céramique ~50€),https://goo.gl/maps/fqjLKU7uMptGNagKA,
Tenkaippin,Kyoto,Ukyo,Restaurant,Meilleur restaurant de ramen style kyoto (~13€),https://goo.gl/maps/qj1oY26byM8atJXt6,
Nikuya Suzu,Kyoto,Higashiyama,Restaurant,Restaurant de wagyu toute les parties du boeuf(€21 - €49),https://goo.gl/maps/CBGXEfqveCb3reMm9,
Kiraku Kyoto Zeniyacho,Kyoto,Shimogyo,Hotel,Ryokan dans le centre de kyoto avec onsen privé en exterieur (sans vis a vis) (~160€/nuit),https://goo.gl/maps/QPenBkYGYysZ8iws5,
Statue of Saigō Takamori,Tokyo,Ueno,Autre,Statue samourai légendaire,https://goo.gl/maps/cKgpVWubWR7XbMTG6,
Soranoiro,Tokyo,Chiyoda,Restaurant,"Ramen, réputé pour très bon bouillon",https://g.page/soranoironippon?share,
Japan Traditional Crafts (Aoyama Square),Tokyo,Chiyoda,Magasin,Expositions d'artisans Japonais,https://g.page/aoyama_square?share,
Palais impérial + Jardin impérial,Tokyo,Chiyoda,Palais,Résidence de l'empereur,https://goo.gl/maps/hESjwfRejAiw8HRG7,Parc fermé au publique la dernière fois
Musée national d'art moderne de Tokyo,Tokyo,Chiyoda,Musée,Musée retraçant l'art Japonais du XIX sièce à nos jours,https://goo.gl/maps/9MqPCVNUyMZkM3fN9,
Yasukuni Jinija,Tokyo,Chiyoda,Temple,Temple Shintoiste dédié aux morts pour la patrie,https://goo.gl/maps/o1kbXxNU16ENDzFi7,
Xex,Tokyo,Marunouchi,Club,"Bar dansant, Club de Jazz",https://g.page/XEXTOKYO?share,
Sadaharu Aoki,Tokyo,Marunouchi,Magasin,Grande maison de la patisserie Tokyoïte,https://goo.gl/maps/QPAFM4KePFvB3No8A,
Tokyo International Forum,Tokyo,Marunouchi,Batiment,Architecture interressante grande allée de baies vitrées traversée par des pacerelles,https://goo.gl/maps/H4rzFY8UGbpmBKy36,
Tamahide,Tokyo,Marunouchi,Restaurant,Restaurant le plus ancient de la ville (1760). Service et cadre traditionnel (fermé temporairement!!),https://goo.gl/maps/VQWnpAbePMyvwcGv5,
Mitsukoshi,Tokyo,Ginza,Magasin,"Plus ancien grand magasin de Tokyo, plusieurs sluptures à l'interieur. + roof top",https://goo.gl/maps/7V5vwFyQ54qk2kBEA,Osef
Musée du Cerf-volant,Tokyo,Marunouchi,Musée,Cerf-volant sur le thème des légendes japonaises,,
OKASHI GAKU,Tokyo,Sumida,Magasin,Gateau dans des cannettes (avec distributeur auto),https://goo.gl/maps/3kRQgMijSVbYbgLAA,
Namba Yasaka Jinja,Osaka,Namiwa,Temple,Temple à la tête de lion,https://goo.gl/maps/DGVaT6yc3Nzc43b39,
Takeshita St,Tokyo,Shibuya,Autre,"Harajuku, quartier jeune",https://goo.gl/maps/e3DHZxFtaACG3uaE6,Surcoté et en perte de vitesse
Kagurazaka,Tokyo,Shinjuku,Autre,Quartier français,https://goo.gl/maps/oi4iLDiBxDQjMZBP8,
Fukutaro,Osaka,Kita-ku,Restaurant,Très bon restaurant okonomiyaki style osaka,https://goo.gl/maps/ESX81Av9CvkNDJNb6,
Shinsekai,Osaka,Naniwa,Autre,Quartier commercant (full street food),https://goo.gl/maps/jrbujsPfMnMoXXEG6,
Naruto Taiyaki Hompo,Osaka,Chuo-city,Restaurant,Très bon Taiyaki,https://goo.gl/maps/Q1YuVeDF1KU2weoq7,
Cheese Tart Pablo Shinsaibashi,Osaka,Chuo-city,Restaurant,tarte au fromage,https://maps.app.goo.gl/HbkdaPP7aW6Wr1QX7,Bon mais j'aime pas trop ça
VILLAGE VANGUARD,Tokyo,Shibuya,Magasin,Libraire/don quijote,https://goo.gl/maps/zeCnW9UD48kit5jv7,
Monjayaki Masuda-tei,Tokyo,Shibuya,Restaurant,okonomiyaki tokyo style,https://goo.gl/maps/X8Bu9XEF8T55oWoHA,
Nakano Broadway,Tokyo,Nakano,Autre,Rue marchande geek/vintage,https://goo.gl/maps/FBwLYP33nDAfnWAh8,
Nakamise Shopping Street,Tokyo,Asakusa,Autre,Rue marchande street food (attention aux arnaque),https://goo.gl/maps/HD1YQD6uDXXyKvVB6,
Ameyoko Shopping Street,Tokyo,Ueno,Autre,Rue marchande street food,https://goo.gl/maps/R8Sdsgm8kWue2ceUA,
Gare de Tokyo,Tokyo,Chiyoda,Autre,Belle architecture + mall avec ramen street + grand magasin de kit kat,https://goo.gl/maps/c6uPXv8mcaZFYkk68,
Hamarikyūteien,Tokyo,Chuo-city,Parc,Grand parc traditionnel (a coté du palais imperial),https://goo.gl/maps/dbnrEz5fHKPatwFd8,
Pokémon Café,Tokyo,Chuo-city,Restaurant,Café thème pokémon ( réserver à l'avance),https://goo.gl/maps/Pt1Fcp92dvyCc8uU7,
Daikanyama,Tokyo,Shibuya,Autre,Daikanyamacho est un quartier élégant boutiques de créateurs de mode et d'accessoires de luxe,https://goo.gl/maps/ZUM2xdkw9uvWG5Fz7,
Genki Sushi,Tokyo,Shibuya,Restaurant,Chaine de sushi milieu de gamme (sur tapis fermer définitivement),https://goo.gl/maps/bYJq9y2LApAVQu767,
Meguro River,Tokyo,Meguro,Autre,Rivière celebre photogenique,https://goo.gl/maps/SgiPAVVfKWm4j9hv6,
Parc d'Inokashira,Tokyo,Musashino,Parc,Parc avec lac ( a coté de musé ghibli ),https://goo.gl/maps/3CBDXRM37dFjE3SJ8,
Shimokitazawa,Tokyo,Setagaya,Autre,Quartier hipster,https://goo.gl/maps/C3NCSXYGZJUotgFx7,
Nebuzo,Tokyo,Shibuya,Restaurant,Restaurant de sukiyaki,https://g.page/nabezo-shibuyacenter?share,
Cup Noodles Museum Yokohama,Tokyo,Yokohama,Musée,Musée de cup noodle avec possibilité de faire ses cup custom,https://goo.gl/maps/A4Co1731uKWPLaG2A,Quartier éloigné de tout
Sanneizaka,Kyoto,Higashiyama,Autre,Rue hyper tradi avec épice jap,https://goo.gl/maps/1pFvJ8xNNSf55XQm8,A faire hors heures de pointe
Maccha House,Kyoto,Higashiyama,Restaurant,Restaurant/bar tiramisu macha (+ terrasse),https://goo.gl/maps/tXHVJB1sFpHNjWA88,Excellent pour un truc touristique est instagramme
Wajoryomen Sugari,Kyoto,Nakagyo-Ku,Restaurant,ramen très réputé kyoto style,https://goo.gl/maps/cj9j5hgGS66A4XWs7,
Pontocho Park,Kyoto,Nakagyo-Ku,Parc,Parc dans la rue de pontocho (plein de petit restaurant),https://goo.gl/maps/N4VDzbfnVBSuZxF47,Beaucoup d'arnaque
Ginza Hachigo,Tokyo,Ginza,Restaurant,Réputé pour le Ramen,https://goo.gl/maps/o94muzbrsgkAbmLeA,
Godaime Hanayama Udon,Tokyo,Ginza,Restaurant,L'un des meilleurs Udon de la ville,https://goo.gl/maps/M7FTxBmnFRSwjd3D6,"Plat complet à 8€, 30min - 1h30 d'attente mais vaut largement le cout"
Tempura Tendon Tenya,Tokyo,Ginza,Restaurant,Fast-food spécialisé dans les tempuras,https://goo.gl/maps/XRHa4KPHUWjG5aAM9,
Ginza Misono,Tokyo,Ginza,Restaurant,"Très bon rapport qualité prix pour le boeuf de Kobe, Cuisson sur des plaques présentes sur la table.",,
300 Bar,Tokyo,Ginza,Bar,"Meilleur cocktail de la ville, (l'ambassadeur de cuba en est tombé amoureux) + Musique",https://g.page/ginza300bar-5?share,
Plustokyo,Tokyo,Ginza,Club,Club au sommet d'un centre commercial avec vue sur tout Tokyo (définitivement fermé),,
Hisui Tokyo,Tokyo,Ginza,Activité local,"Ecole d'art traditionnel Japonais avec possibilité de prendre des cours pour les touristes (Waso, Shodo, Sado, Batto)",https://goo.gl/maps/4e7tBZsR2cheV1eU8,
Jo Gai Market,Tokyo,Ginza,Magasin,Marché avec artisant et nourriture (notament Sashimi,https://goo.gl/maps/yKutDTNwbZ8B2yJ88,
Bateau Bus,Tokyo,Ginza,Autre,Parcourt la rivière Sumida jusqu'à Asakusa,,
Petit restaurant proche de la gare,Tokyo,Ueno,Restaurant,"Restaurant ou s'effectuait le marché noir dans les années 50 (Ramen, Gyoza, Yakitori)",,
Izuei Umegawa-Tei,Tokyo,Ueno,Restaurant,"Restaurant spécialisé dans l'anguille, terrasse avec ruisseau.",https://goo.gl/maps/ri3gZ7W2qVj6gZNH6,
Echikatsu,Tokyo,Ueno,Restaurant,"Restaurant traditionnel, Séparé en 17 petites salles ou l'on mange sur des coussins et tables basses avec petit jardin japonais.",,
Honkan,Tokyo,Ueno,Musée,"Musée consacré à la culture Japonaise, oeuvre d'art majeure, kimono, sculpture, armure, poterie, peinture",,
Sanctuaire Toshogu,Tokyo,Ueno,Temple,"Classé trésor national, construit par le 1er Shogun en 1627",,
Musée de Shitamachi,Tokyo,Ueno,Musée,"Musée reconstituant la vie pendant la période Edo, Reconstitution d'interieur de rue et de maison.",,
Marché d'Ameya Yokocho,Tokyo,Yanaka,Magasin,"Un des plus grand marché de tokyo, nombreuse épices rares, nouriture séché et algues en vente",,
Hantei,Tokyo,Yanaka,Restaurant,"Maison en bois sur 2étages spécialité : Kushiages , Tempura",https://g.page/hantei?share,
Visite guidées gratuites,Tokyo,Yanaka,Autre,Bénévoles et habitants du quartier organise des visites guidées gratuites du quartier (plusieurs temples aussi),,
Cimetière de Yanaka Reien,Tokyo,Yanaka,Parc,cimetière ou l'on trouve la tombe du dernier Shogun,https://goo.gl/maps/YW52yXu5qsk8s6Ag7,
Magurobito,Tokyo,Asakusa,Restaurant,Sushi sur tapis roulant mais un peu plus haut de gamme que la moyenne,https://goo.gl/maps/btJPM8JkWwVpePtk8,
Tsurujirou,Tokyo,Asakusa,Restaurant,"Spécialisé dans l'Okonomiyaki, possibilité des les faire soit même ou avec l'aide d'un chef",https://goo.gl/maps/ZLvVjMQ8VGSuJnT78,
Nibiki,Tokyo,Asakusa,Restaurant,Un des restaurant de Fugus les plus réputés,,
Tokyo Sktree Tower,Tokyo,Asakusa,Autre,Tour de télévision de 634m avec point de vue et restaurant au sommet et sol en verre.,https://g.page/TOKYOSKYTREE-official?share,Cher et pas ouf
Chanko Edosawa,Tokyo,Ryogoku,Restaurant,"Cadre traditionnel (tatami, table basse, muisique traditionnel), spécialité : tempura et soba",https://goo.gl/maps/xVdu5ViJyaMKC96H9,
Musée Sumida Hokusai,Tokyo,Ryogoku,Musée,Musée sur les oeuvres d'Hokusai,https://goo.gl/maps/Y3bpBK6N84pD1WiJ7,
Musée Edo-Tokyo,Tokyo,Ryogoku,Musée,Plus grand musée Ethnographique et Historique de la vie pendant la période Edo (fermé temporairement),https://goo.gl/maps/49UiWRHj9Shz5o9k9,En travau en 2023
Sword Museum,Tokyo,Ryogoku,Musée,Musée sur l'évolution du Sabre du 9ème siecle à nos jours.,https://goo.gl/maps/2bNLV52NpmP6yMQq9,
Stade sumo Kokugikan,Tokyo,Ryogoku,Autre,Salle de compétition Sumo mais possibilité de venir assister aux entrainements hors periode de compétition,https://goo.gl/maps/L4iZGonM4sff7iWz7,Musée gratuit du sumo à l'interieur
Mimasuya,Tokyo,Akihabara,Restaurant,"Taverne proposant Sakura nabe et anguilles, beaucoup de choix de saké",,
Shangs café,Tokyo,Akihabara,Magasin,Salon de thé proposant cafés torréfiés selon des méthode traditionnelles Japonaises,https://goo.gl/maps/nsZJ3Zv9Evpj5XMx7,Très bien pour les amateurs de café
Animate,Tokyo,Akihabara,Magasin,Temple du Manga et figurine de tout genre ...,https://goo.gl/maps/21pTgUnU4o5RWny88,
Kanda Myojin,Tokyo,Akihabara,Temple,"A 300 metre du centre d'Akihabara, au calme de la ville plus vieux temple de tokyo (730)",https://goo.gl/maps/VqfqNG8TtvoCMtFRA,
Akihabara,Tokyo,Akihabara,Autre,"Salle d'arcade, magasin manga ect...",https://goo.gl/maps/b5Hr3YVPcJjGsKaVA,Parfait pour les geeks
Chanko Kuroshio,Tokyo,Kagurazaka,Restaurant,Spécialisé dans la cuisine sumo et tenu par un ancien sumo,https://g.page/chanko-kuroshio?share,
Tenko,Tokyo,Kagurazaka,Restaurant,"Un des meilleurs restaurant tempura de la ville, ancienne demeure Geishas",https://goo.gl/maps/fvBLMGSuhuzgJGhu5,
Cimetière d'Aoyama,Tokyo,Roppongi,Parc,100000 tombe dont celle du chien Hachiko,https://goo.gl/maps/vNDET2ptu1JqRyMx8,
Yamada Chikara,Tokyo,Roppongi,Restaurant,"Cuisine moléculaire qui revisite la cuisine traditionnelle japonaise, apprenti du restaurant élu meilleur restaurant du monde (El Bulli)",,
Musée des parasites,Tokyo,Ebisu,Musée,"Musée ressensant près de 45000 parasites, hypocondriaque s'abstenir",,
Uogashi,Tokyo,Shibuya,Restaurant,Très bon sushi,https://goo.gl/maps/mcedx4hQ5bNp3QKD9,
Shirubee,Tokyo,Shibuya,Restaurant,Taverne réputé et au calme de l'agitation du quartier. Spécialité : Nikujaga / Vin japonais,https://goo.gl/maps/ECKbrHUA6TtHgkkU8,
Morimoto,Tokyo,Shibuya,Restaurant,"Basé sur des produits circuit court, Grandre réputation pour anguille et Yakitori",https://goo.gl/maps/EPhr2ekejk4oczMT9,
Sound Museum Vision,Tokyo,Shibuya,Club,Une des plus grande boite de Tokyo (définitivement fermé),https://goo.gl/maps/TeuCWCg3VccfJyke8,
La Pasela,Tokyo,Shibuya,Club,Karaoké,https://goo.gl/maps/3ZmZEPCu2E3pQKjn9,
Benitsuru,Tokyo,Taitou,Restaurant,Restaurant de fluffy pancakes,https://goo.gl/maps/kbUihwZx1yzKY4aU6,
Izakaya Masaka,Tokyo,Shibuya,Restaurant,un des meilleurs restaurant végan,https://goo.gl/maps/xpo4sbrQfr4c7KmZ6,
The church,Tokyo,Shibuya,Bar,bar sur le thème de l'église catholique,https://goo.gl/maps/3AMXLL97gfCwrNDj6,Faut venir bien habillé
Kappabashi-dōri,Tokyo,Taitou,Magasin,Magasin fournisseur de restaurant,https://goo.gl/maps/SdsWuLGYpvabBDWf8,
Gyukatsu Ichi Ni San,Tokyo,Chiyoda,Restaurant,Réputé pour le gyokatsu (tonkatsu au boeuf),https://g.page/gyukatsu123?share,
Tenmaya,Tokyo,Kitazawa,Restaurant,Réputé pour les croquettes (végé option),https://goo.gl/maps/3vBqYH5NfbsXpYij6,
YUKARI-nishiazabu-,Tokyo,Minato-city,Restaurant,Restaurant pour gouter plein de saké (temporairement fermé),https://goo.gl/maps/JTKex6k4SAT4Rfp79,
JANAI COFFEE,Tokyo,Shibuya,Bar,speakeasy bar (utiliser le site pour entrer dans la partie bar),https://g.page/janaicoffee?share,
"Horumon nabe, Morioka goro",Tokyo,Shinjuku,Restaurant,Speakeasy izakaya (utiliser la porte de stockage),https://goo.gl/maps/BUARieiT3Jecx7Ka7,
No Room For Squares,Tokyo,Kitazawa,Bar,Speakeasy bar jazz (utiliser le frigo coca),https://g.page/no-room-for-squares?share,
